model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,condition,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
"Mercedes-Benz GLS 450, 2019",2019,98 500 км,чёрный,55 050  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,367 л.с.,бензиновый ,АИ-95 ,6.2 с,9.4 л,Германия ,F ,246 км/ч,Euro 6 ,9 299 000 
"Mercedes-Benz V-Класс XL 200 d экстра длинный, 2018",2018,51 400 км,чёрный,4 760  / год,автоматическая,задний,Не требует ремонта,2 владельца,2.1 л,136 л.с.,дизельный ,ДТ ,12.8 с,5.8 л,Германия ,M ,181 км/ч,Euro 5 ,12 800 000 
"Mercedes-Benz G-Класс 350 d, 2020",2020,23 500 км,чёрный,18 675  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.9 л,249 л.с.,дизельный ,ДТ ,7.4 с,9.8 л,Германия ,J ,199 км/ч,Euro 6 ,17 499 000 
"BMW X6 40i, 2021",2021,50 300 км,чёрный,51 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,бензиновый ,АИ-95 ,5.5 с,8.6 л,Германия ,E ,250 км/ч,Euro 6 ,9 990 000 
"BMW 5 серии 540d xDrive, 2022",2022,6 152 км,серый,51 000  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,340 л.с.,дизельный ,ДТ ,4.6 с,5.1 л,Германия ,E ,250 км/ч,Euro 6 ,9 900 000 
"Infiniti Q50, 2014",2014,92 495 км,белый,13 715  / год,автоматическая,задний,Не требует ремонта,3 или более,2.0 л,211 л.с.,бензиновый ,АИ-95 ,7.3 с,7.0 л,Япония ,D ,245 км/ч,?,1 569 000 
"Porsche Cayenne, 2019",2019,50 215 км,чёрный,51 000  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,340 л.с.,бензиновый ,АИ-98 ,6.2 с,9.2 л,Германия ,E ,245 км/ч,Euro 6 ,7 500 000 
"Porsche Cayenne, 2023",2023,8 004 км,серый,52 950  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,353 л.с.,бензиновый ,АИ-98 ,6.0 с,10.8 л,Германия ,E ,248 км/ч,Euro 6 ,19 900 000 
"Mercedes-Benz V-Класс L 250 d длинный, 2021",2021,51 000 км,чёрный,9 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.1 л,190 л.с.,дизельный ,ДТ ,9.1 с,6.6 л,Германия ,M ,206 км/ч,Euro 6 ,21 500 000 
"LiXiang L9 44.5 kWh, 2023",2023,8 км,чёрный,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.8 л,Китай ,F ,180 км/ч,?,9 959 000 
"BMW X7 M60i, 2023",2023,30 км,синий,79 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.4 л,530 л.с.,бензиновый ,АИ-95 ,4.7 с,12.9 л,Германия ,F ,250 км/ч,Euro 6 ,21 900 000 
"Mercedes-Benz V-Класс XL 300 d экстра длинный, 2022",2022,50 км,чёрный,17 775  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,237 л.с.,дизельный ,ДТ ,8.5 с,7.2 л,Германия ,M ,214 км/ч,Euro 6 ,29 800 000 
"BMW iX M60, 2022",2022,12 433 км,серый,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,500/1750 л,540 л.с.,Электро ,?,3.8 с,?,Германия ,E ,250 км/ч,?,11 950 000 
"BMW 5 серии 520d xDrive, 2021",2021,46 669 км,чёрный,9 500  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,190 л.с.,дизельный ,ДТ ,7.2 с,4.5 л,Германия ,E ,232 км/ч,Euro 6 ,5 990 000 
"Chery Tiggo 7 Pro, 2020",2020,58 000 км,белый,5 145  / год,вариатор,передний,Не требует ремонта,1 владелец,1.5 л,147 л.с.,бензиновый ,АИ-92 ,9.8 с,8.2 л,Китай ,C ,186 км/ч,Euro 6 ,2 079 900 
"Voyah Free EVR LONG RANGE, 2023",2023,840 км,синий,17 325  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,489 л.с.,гибридный ,АИ-92 ,4.8 с,?,Китай ,E ,200 км/ч,?,4 950 000 
"Chery Tiggo 8 Pro, 2021",2021,70 267 км,синий,9 300  / год,роботизированная,передний,Не требует ремонта,1 владелец,1.6 л,186 л.с.,бензиновый ,АИ-92 ,8.9 с,7.0 л,Китай ,D ,185 км/ч,Euro 5 ,2 189 000 
"Maserati Quattroporte, 2007",2007,98 000 км,чёрный,60 000  / год,автоматическая,задний,Не требует ремонта,3 или более,4.2 л,400 л.с.,бензиновый ,АИ-98 ,5.6 с,14.7 л,Италия ,F ,270 км/ч,?,1 290 000 
"Voyah Free, 2023",2023,1 км,чёрный,13 260  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,490 л.с.,гибридный ,АИ-92 ,4.8 с,0.81 л,Китай ,E ,200 км/ч,Euro 6 ,4 990 000 
"BMW X5 30d, 2019",2019,82 300 км,синий,18 675  / год,автоматическая,полный,Не требует ремонта,2 владельца,3.0 л,249 л.с.,дизельный ,ДТ ,6.5 с,6.8 л,Германия ,E ,230 км/ч,Euro 6 ,6 765 000 
"Volvo XC90, 2020",2020,52 427 км,синий,17 625  / год,автоматическая,полный,Не требует ремонта,2 владельца,2.0 л,235 л.с.,дизельный ,ДТ ,7.8 с,5.8 л,Швеция ,E ,220 км/ч,Euro 6 ,6 690 000 
"Voyah Free, 2024",2024,1 км,золотистый,13 260  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,490 л.с.,гибридный ,АИ-92 ,4.8 с,0.81 л,Китай ,E ,200 км/ч,Euro 6 ,5 190 000 
"Hyundai Genesis Coupe, 2009",2009,131 591 км,синий,13 845  / год,автоматическая,задний,Не требует ремонта,3 или более,2.0 л,213 л.с.,бензиновый ,АИ-95 ,8.2 с,9.2 л,Южная Корея ,D ,223 км/ч,?,999 999 
"LiXiang L9 44.5 kWh, 2023",2023,6 км,зелёный,67 350  / год,автоматическая,полный,Не требует ремонта,1 владелец,1.5 л,449 л.с.,гибридный ,АИ-95 ,5.3 с,7.8 л,Китай ,F ,180 км/ч,?,9 399 900 
"Zeekr 001 100 kWh, 2023",2023,97 км,синий,0  / год,автоматическая,полный,Не требует ремонта,1 владелец,2144 л,544 л.с.,Электро ,?,3.8 с,?,Китай ,E ,200 км/ч,?,7 200 000 
"Mercedes-Benz V-Класс XL 300 d экстра длинный, 2023",2023,50 км,чёрный,17 775  / год,автоматическая,полный,Не требует ремонта,1 владелец,2.0 л,237 л.с.,дизельный ,ДТ ,8.5 с,7.2 л,Германия ,M ,214 км/ч,Euro 6 ,44 950 000 
"BMW X6 30d, 2023",2023,43 км,чёрный,42 900  / год,автоматическая,полный,Не требует ремонта,1 владелец,3.0 л,286 л.с.,дизельный ,ДТ ,6.1 с,7.9 л,Германия ,E ,233 км/ч,Euro 6 ,15 500 000 
"Mercedes-Benz G-Класс AMG 63 AMG, 2023",2023,39 км,серебристый,263 250  / год,автоматическая,полный,Не требует ремонта,1 владелец,4.0 л,585 л.с.,бензиновый ,АИ-98 ,4.5 с,13.3 л,Германия ,J ,220 км/ч,Euro 6 ,32 900 000 
"Porsche Panamera 4, 2023",2023,20 км,серый,52 950  / год,роботизированная,полный,Не требует ремонта,1 владелец,2.9 л,353 л.с.,бензиновый ,АИ-98 ,5.0 с,11.2 л,Германия ,F ,270 км/ч,Euro 6 ,23 200 000 
"Volkswagen Polo, 2020",2020,83 000 км,белый,2 750  / год,автоматическая,передний,Не требует ремонта,3 или более,1.6 л,110 л.с.,бензиновый ,АИ-95 ,11.8 с,6.6 л,Германия ,B ,190 км/ч,Euro 5 ,1 335 000 
