model auto,year of production,mileage,exterior colour,tax,transmission,wheel drive,number of owners,engine volume,engine power,engine type,fuel type,acceleration,MPG,country of the car brand,class,top speed,environmental class,price
Mercedes-Benz,2019,98500.0,чёрный,55050.0,автоматическая,полный,1 владелец,3.0,367.0,бензиновый ,АИ-95 ,6.2,9.4,Германия ,F ,246.0,Euro 6 ,9299000.0
Mercedes-Benz,2018,51400.0,чёрный,4760.0,автоматическая,задний,2 владельца,2.1,136.0,дизельный ,ДТ ,12.8,5.8,Германия ,M ,181.0,Euro 5 ,12800000.0
Mercedes-Benz,2020,23500.0,чёрный,18675.0,автоматическая,полный,1 владелец,2.9,249.0,дизельный ,ДТ ,7.4,9.8,Германия ,J ,199.0,Euro 6 ,17499000.0
BMW,2021,50300.0,чёрный,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-95 ,5.5,8.6,Германия ,E ,250.0,Euro 6 ,9990000.0
BMW,2022,6152.0,серый,51000.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,4.6,5.1,Германия ,E ,250.0,Euro 6 ,9900000.0
Infiniti,2014,92495.0,белый,13715.0,автоматическая,задний,3 или более,2.0,211.0,бензиновый ,АИ-95 ,7.3,7.0,Япония ,D ,245.0,Euro 0,1569000.0
Porsche,2019,50215.0,чёрный,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-98 ,6.2,9.2,Германия ,E ,245.0,Euro 6 ,7500000.0
Porsche,2023,8004.0,серый,52950.0,автоматическая,полный,1 владелец,3.0,353.0,бензиновый ,АИ-98 ,6.0,10.8,Германия ,E ,248.0,Euro 6 ,19900000.0
Mercedes-Benz,2021,51000.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,21500000.0
LiXiang,2023,8.0,чёрный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.8,Китай ,F ,180.0,Euro 0,9959000.0
BMW,2023,30.0,синий,79500.0,автоматическая,полный,1 владелец,4.4,530.0,бензиновый ,АИ-95 ,4.7,12.9,Германия ,F ,250.0,Euro 6 ,21900000.0
Mercedes-Benz,2022,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,29800000.0
BMW,2021,46669.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.0,190.0,дизельный ,ДТ ,7.2,4.5,Германия ,E ,232.0,Euro 6 ,5990000.0
Chery,2020,58000.0,белый,5145.0,вариатор,передний,1 владелец,1.5,147.0,бензиновый ,АИ-92 ,9.8,8.2,Китай ,C ,186.0,Euro 6 ,2079900.0
Chery,2021,70267.0,синий,9300.0,роботизированная,передний,1 владелец,1.6,186.0,бензиновый ,АИ-92 ,8.9,7.0,Китай ,D ,185.0,Euro 5 ,2189000.0
Maserati,2007,98000.0,чёрный,60000.0,автоматическая,задний,3 или более,4.2,400.0,бензиновый ,АИ-98 ,5.6,14.7,Италия ,F ,270.0,Euro 0,1290000.0
Voyah,2023,1.0,чёрный,13260.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,4990000.0
BMW,2019,82300.0,синий,18675.0,автоматическая,полный,2 владельца,3.0,249.0,дизельный ,ДТ ,6.5,6.8,Германия ,E ,230.0,Euro 6 ,6765000.0
Volvo,2020,52427.0,синий,17625.0,автоматическая,полный,2 владельца,2.0,235.0,дизельный ,ДТ ,7.8,5.8,Швеция ,E ,220.0,Euro 6 ,6690000.0
Voyah,2024,1.0,золотистый,13260.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,5190000.0
Hyundai,2009,131591.0,синий,13845.0,автоматическая,задний,3 или более,2.0,213.0,бензиновый ,АИ-95 ,8.2,9.2,Южная Корея ,D ,223.0,Euro 0,999999.0
LiXiang,2023,6.0,зелёный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.8,Китай ,F ,180.0,Euro 0,9399900.0
Mercedes-Benz,2023,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,44950000.0
BMW,2023,43.0,чёрный,42900.0,автоматическая,полный,1 владелец,3.0,286.0,дизельный ,ДТ ,6.1,7.9,Германия ,E ,233.0,Euro 6 ,15500000.0
Mercedes-Benz,2023,39.0,серебристый,263250.0,автоматическая,полный,1 владелец,4.0,585.0,бензиновый ,АИ-98 ,4.5,13.3,Германия ,J ,220.0,Euro 6 ,32900000.0
Porsche,2023,20.0,серый,52950.0,роботизированная,полный,1 владелец,2.9,353.0,бензиновый ,АИ-98 ,5.0,11.2,Германия ,F ,270.0,Euro 6 ,23200000.0
Volkswagen,2020,83000.0,белый,2750.0,автоматическая,передний,3 или более,1.6,110.0,бензиновый ,АИ-95 ,11.8,6.6,Германия ,B ,190.0,Euro 5 ,1335000.0
Suzuki,2011,169000.0,серый,2800.0,механическая,полный,2 владельца,1.6,112.0,бензиновый ,АИ-95 ,11.5,6.8,Япония ,B ,175.0,Euro 4 ,760000.0
Mercedes-Benz,2023,50.0,чёрный,17775.0,автоматическая,полный,1 владелец,2.0,237.0,дизельный ,ДТ ,8.5,7.2,Германия ,M ,214.0,Euro 6 ,44950000.0
Mini,2020,11000.0,синий,9600.0,автоматическая,полный,1 владелец,2.0,192.0,бензиновый ,АИ-95 ,7.2,7.3,Великобритания ,B ,222.0,Euro 6 ,3975000.0
BMW,2023,43.0,чёрный,42900.0,автоматическая,полный,1 владелец,3.0,286.0,дизельный ,ДТ ,6.1,7.9,Германия ,E ,233.0,Euro 6 ,15500000.0
Nissan,2011,251000.0,серый,4935.0,вариатор,полный,2 владельца,2.0,141.0,бензиновый ,АИ-95 ,11.7,8.2,Япония ,C ,180.0,Euro 0,1150000.0
BMW,2021,27000.0,серый,79500.0,автоматическая,полный,1 владелец,4.4,530.0,бензиновый ,АИ-95 ,4.3,10.7,Германия ,E ,250.0,Euro 6 ,8200000.0
Mercedes-Benz,2023,39.0,серебристый,263250.0,автоматическая,полный,1 владелец,4.0,585.0,бензиновый ,АИ-98 ,4.5,13.3,Германия ,J ,220.0,Euro 6 ,32900000.0
Porsche,2023,20.0,серый,52950.0,роботизированная,полный,1 владелец,2.9,353.0,бензиновый ,АИ-98 ,5.0,11.2,Германия ,F ,270.0,Euro 6 ,23200000.0
Volkswagen,2020,83000.0,белый,2750.0,автоматическая,передний,3 или более,1.6,110.0,бензиновый ,АИ-95 ,11.8,6.6,Германия ,B ,190.0,Euro 5 ,1335000.0
Suzuki,2011,169000.0,серый,2800.0,механическая,полный,2 владельца,1.6,112.0,бензиновый ,АИ-95 ,11.5,6.8,Япония ,B ,175.0,Euro 4 ,760000.0
Mercedes-Benz,2022,9772.0,чёрный,49500.0,автоматическая,полный,1 владелец,2.9,330.0,дизельный ,ДТ ,5.4,6.9,Германия ,F ,250.0,Euro 6 ,14700000.0
Geely,2021,4480.0,серый,5250.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-92 ,8.4,6.4,Китай ,B ,190.0,Euro 5 ,2029000.0
Haval,2021,63845.0,чёрный,5250.0,роботизированная,передний,1 владелец,1.5,150.0,бензиновый ,АИ-95 ,11.0,8.2,Китай ,C ,180.0,Euro 5 ,1920000.0
Mitsubishi,2012,200000.0,белый,2925.0,автоматическая,передний,1 владелец,1.6,117.0,бензиновый ,АИ-95 ,14.1,7.1,Япония ,C ,180.0,Euro 4 ,680000.0
Mercedes-Benz,2021,6800.0,чёрный,9500.0,автоматическая,полный,1 владелец,2.1,190.0,дизельный ,ДТ ,9.1,6.6,Германия ,M ,206.0,Euro 6 ,39000000.0
Land,2019,40000.0,серебристый,18675.0,автоматическая,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,7.5,7.9,Великобритания ,C ,230.0,Euro 6 ,4240000.0
BMW,2019,78659.0,белый,51000.0,автоматическая,полный,2 владельца,3.0,340.0,бензиновый ,АИ-95 ,6.1,9.5,Германия ,F ,245.0,Euro 6 ,8099000.0
Genesis,2021,107629.0,зелёный,18675.0,автоматическая,полный,1 владелец,2.5,249.0,бензиновый ,АИ-95 ,7.5,10.4,Южная Корея ,E ,224.0,Euro 5 ,4990000.0
Kia,2018,95000.0,белый,4480.0,механическая,передний,2 владельца,1.6,128.0,бензиновый ,АИ-92 ,10.5,6.8,Южная Корея ,C ,195.0,Euro 6 ,1360000.0
Voyah,2023,1.0,зелёный,13260.0,автоматическая,полный,1 владелец,1.5,490.0,гибридный ,АИ-92 ,4.8,0.81,Китай ,E ,200.0,Euro 6 ,4990000.0
Kia,2016,119000.0,серый,4725.0,роботизированная,передний,3 или более,1.6,135.0,бензиновый ,АИ-95 ,10.8,5.9,Южная Корея ,C ,195.0,Euro 6 ,1290000.0
Toyota,2008,293943.0,серебристый,7515.0,автоматическая,передний,3 или более,2.4,167.0,бензиновый ,АИ-95 ,9.3,9.9,Япония ,E ,205.0,Euro 0,800000.0
Land,2023,18461.0,серый,79500.0,автоматическая,полный,1 владелец,4.4,530.0,бензиновый ,АИ-95 ,4.6,11.8,Великобритания ,J ,250.0,Euro 6 ,23685000.0
Toyota,2021,83000.0,чёрный,44850.0,автоматическая,полный,2 владельца,3.4,299.0,дизельный ,ДТ ,6.8,8.9,Япония ,J ,210.0,Euro 6 ,10490000.0
BMW,2022,82833.0,серый,51000.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,6.1,6.6,Германия ,F ,245.0,Euro 6 ,9600000.0
BMW,2023,8765.0,чёрный,52800.0,автоматическая,полный,1 владелец,3.0,340.0,дизельный ,ДТ ,5.9,8.6,Германия ,F ,245.0,Euro 6 ,15900000.0
EXEED,2022,3033.0,белый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3799000.0
Chery,2021,62062.0,белый,7650.0,вариатор,передний,1 владелец,2.0,170.0,бензиновый ,АИ-92 ,10.0,8.2,Китай ,D ,200.0,Euro 6 ,2024000.0
EXEED,2022,11000.0,белый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3623000.0
Chery,2021,62062.0,белый,7650.0,вариатор,передний,1 владелец,2.0,170.0,бензиновый ,АИ-92 ,10.0,8.2,Китай ,D ,200.0,Euro 6 ,2024000.0
EXEED,2022,11000.0,белый,18675.0,роботизированная,полный,1 владелец,2.0,249.0,бензиновый ,АИ-95 ,8.5,9.5,Китай ,E ,195.0,Euro 5 ,3623000.0
Volvo,2021,95833.0,коричневый,9500.0,автоматическая,передний,2 владельца,2.0,190.0,бензиновый ,АИ-95 ,8.2,6.7,Швеция ,E ,180.0,Euro 6 ,3600000.0
BMW,2020,56556.0,чёрный,60000.0,автоматическая,полный,2 владельца,3.0,400.0,дизельный ,ДТ ,5.4,7.5,Германия ,F ,250.0,Euro 6 ,11000000.0
Ford,2012,307000.0,чёрный,5075.0,механическая,передний,3 или более,2.0,145.0,бензиновый ,АИ-95 ,9.9,7.9,США ,D ,210.0,Euro 5 ,559000.0
Skoda,2018,91000.0,белый,2750.0,автоматическая,передний,1 владелец,1.6,110.0,бензиновый ,АИ-95 ,12.2,6.7,Чехия ,C ,188.0,Euro 5 ,1555000.0
Mazda,2023,7300.0,белый,7110.0,автоматическая,передний,2 владельца,2.0,158.0,бензиновый ,АИ-95 ,10.5,6.3,Япония ,C ,192.0,Euro 0,3099900.0
Lada,2021,45000.0,белый,2650.0,механическая,передний,1 владелец,1.6,106.0,бензиновый ,АИ-92 ,12.6,7.5,Россия ,B ,178.0,Euro 5 ,1220000.0
LiXiang,2023,23.0,чёрный,67350.0,автоматическая,полный,1 владелец,1.5,449.0,гибридный ,АИ-95 ,5.3,7.6,Китай ,E ,180.0,Euro 0,6900000.0
